idx,smiles
0,c1cc(ccc1N)S(=O)(=O)Nc2cncc(n2)Cl
1,c1cc(ccc1N)S(=O)(=O)Nc2ccc(nn2)Cl
2,c1cc(ccc1N)S(=O)(=O)NC(=N)N
3,Cc1ccnc(n1)NS(=O)(=O)c2ccc(cc2)N
4,Cc1nnc(s1)NS(=O)(=O)c2ccc(cc2)N
5,Cc1c(oc(n1)NS(=O)(=O)c2ccc(cc2)N)C
6,c1cc(ccc1N)S(=O)(=O)N
7,CCN(CC)CCSCC(=O)O[C@@H]1C[C@@]([C@H]([C@@H]([C@@]23CC[C@H]([C@@]1([C@@H]2C(=O)CC3)C)C)C)O)(C)C=C
8,CCCS(=O)c1ccc2c(c1)nc([nH]2)NC(=O)OC
9,c1cc(c(c(c1)Cl)Cn2cnc3c2ncnc3N)F
10,Cc1c(c(c(c(n1)C)Cl)O)Cl
11,CCOc1cc(ccc1C(=O)OC)NC(=O)C
12,CCN(CCCC(=O)N1CCC(CC1)C(=O)N(C)C)[C@@H](C)CC2=CC=C(C=C2)OC
13,C1=CC(=CC=C1/C=N/NC(=N)N/N=C/C2=CC=C(C=C2)Cl)Cl
14,CC(C)(C)NCC(c1cc(c(c(c1)Cl)N)C(F)(F)F)O
15,CC(CCc1ccc(cc1)O)NCC(c2ccc(cc2)O)O
16,Cc1cnc(s1)/N=C(/C2=C(c3ccccc3S(=O)(=O)N2C)O)\O
17,Cc1c(cccc1Nc2c(cc(cn2)O)C(=O)O)C(F)(F)F
18,c1cc(cc(c1)NC(=O)Nc2cccc(c2)C3=NCCN3)C4=NCCN4
19,CN(Cc1cc(cc(c1N)Br)Br)C2CCCCC2
20,COC(=O)N=NC=C1C=[N+](C2=CC=CC=C2N1O)[O-]
21,c1ccc2c(c1)nc(n2C3=CCN(CC3)CCCC(=O)c4ccc(cc4)F)O
22,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
23,CCCc1cc(nc(n1)S)O
24,CN[C@H]1CC[C@@H](C2=CC=C(Cl)C(Cl)=C2)C2=C1C=CC=C2
25,CN(C)CC(c1ccc(cc1)OC)C2(CCCCC2)O
26,CN(C)CCC=C1c2ccccc2CCc3c1cccc3
27,c1ccc(c(c1)C2=NC(C(=O)Nc3c2cc(cc3)Cl)O)Cl
28,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
29,Cc1cc2c(s1)Nc3ccccc3N=C2N4CCN(CC4)C
